user_label,gesture_label,sample_id,points_count,width_bbox,height_bbox,aspect_ratio,net_distance,mean_pressure,max_pressure,mean_finger_w,mean_finger_h
08,08,20,11,23.32000000000002,136.97000000000003,5.873499142367063,138.94100654594385,0.027181818181818185,0.062,0.037454545454545456,0.05790909090909091
08,08,21,13,29.720000000000027,327.57,11.021870794078051,322.40716524295794,0.022692307692307696,0.043,0.03030769230769231,0.06484615384615383
08,08,22,8,14.129999999999995,109.01,7.714791224345367,109.9065976181594,0.025750000000000002,0.046,0.036875000000000005,0.060500000000000005
08,08,23,12,22.370000000000005,135.17000000000002,6.042467590523021,137.00856104638135,0.024583333333333336,0.037,0.03741666666666666,0.05391666666666666
08,08,24,12,73.06,371.62,5.086504243087873,378.7336636740917,0.026250000000000006,0.044,0.033583333333333326,0.051583333333333335
08,08,25,11,29.49000000000001,138.97999999999996,4.712783994574429,142.07427810831908,0.028000000000000004,0.047,0.03927272727272727,0.056
08,08,26,8,15.350000000000025,101.75,6.628664495113996,102.90133624010916,0.027624999999999997,0.062,0.0345,0.047875
08,08,27,9,18.220000000000027,136.56,7.495060373216234,137.77010561076014,0.03344444444444445,0.062,0.03866666666666666,0.06533333333333333
08,08,28,7,3.359999999999957,83.74000000000001,24.92261904761937,83.79479995799262,0.02614285714285714,0.066,0.028857142857142856,0.04414285714285714
08,08,29,9,11.529999999999973,128.55,11.149176062445822,129.0660427843048,0.03188888888888889,0.072,0.029,0.043000000000000003
08,08,30,6,6.75,99.39999999999998,14.725925925925923,99.60646615556641,0.027,0.057,0.03333333333333333,0.0545
09,01,01,14,91.98000000000002,155.83,1.6941726462274405,180.95112406393062,0.022928571428571434,0.047,0.04771428571428572,0.07050000000000002
09,01,02,13,149.66,138.97999999999996,0.9286382466925027,204.23896787831646,0.02492307692307693,0.043,0.0403076923076923,0.049615384615384624
09,01,03,12,104.57,126.42000000000002,1.208950941952759,164.06371110029178,0.015000000000000001,0.032,0.025333333333333336,0.034333333333333334
09,01,04,12,128.67,156.96000000000004,1.2198647703427377,202.95913504939858,0.02616666666666667,0.043,0.025250000000000005,0.037000000000000005
09,01,05,7,76.62,107.45,1.4023753589141217,131.97017428191873,0.014714285714285716,0.028,0.02157142857142857,0.030857142857142854
09,01,06,9,100.79000000000002,147.77000000000004,1.46611767040381,178.87033571836335,0.027111111111111114,0.047,0.025444444444444447,0.040777777777777774
09,01,07,11,118.2,157.64999999999998,1.3337563451776648,197.0400022838002,0.029818181818181824,0.043,0.026909090909090907,0.04036363636363637
09,01,08,22,123.46,165.36,1.3393811760894219,206.36448628579484,0.016363636363636365,0.028,0.04363636363636365,0.05759090909090909
09,01,09,8,84.20999999999998,366.38,4.350789692435579,164.9452906269227,0.036500000000000005,0.072,0.0305,0.0745
09,01,10,8,104.37,134.5,1.2886844878796588,170.24496145260804,0.033125,0.063,0.041374999999999995,0.054625
09,01,11,8,115.72999999999996,122.64,1.0597079408969157,168.62384914358938,0.022875,0.04,0.028749999999999998,0.046875
09,01,12,13,149.95,152.10000000000002,1.014338112704235,213.58701388427156,0.026615384615384617,0.041,0.03338461538461538,0.0563846153846154
09,01,13,4,142.55,121.88,0.8549982462293931,187.5506248989856,0.01925,0.05,0.02075,0.039
09,01,14,8,133.13,145.81,1.0952452490047322,197.4440503028643,0.015,0.041,0.022875,0.038125
09,01,15,6,129.04999999999995,134.19,1.0398295234405273,186.17426943592392,0.024500000000000004,0.042,0.024333333333333335,0.03933333333333333
